Date,Open,High,Low,Close,Adj Close,Volume,RHT
2015-01-16,64.279999,65.349998,64.279999,65.190002,65.190002,2075500,RHT
2015-01-20,65.419998,65.699997,64.480003,65.150002,65.150002,1399400,RHT
2015-01-21,64.739998,65.349998,64.199997,64.790001,64.790001,1242700,RHT
2015-01-22,64.930000,66.120003,64.010002,65.919998,65.919998,1095800,RHT
2015-01-23,66.000000,66.720001,65.820000,66.059998,66.059998,1262600,RHT
2015-01-26,66.050003,66.510002,65.349998,66.269997,66.269997,831100,RHT
2015-01-27,65.260002,65.910004,64.300003,65.080002,65.080002,1181900,RHT
2015-01-28,65.790001,65.800003,64.400002,64.660004,64.660004,1574100,RHT
2015-01-29,64.639999,65.790001,64.000000,65.750000,65.750000,1622900,RHT
2015-01-30,65.019997,65.669998,63.680000,63.790001,63.790001,1460800,RHT
2015-02-02,64.029999,64.290001,62.430000,64.239998,64.239998,1194600,RHT
2015-02-03,64.480003,65.000000,63.799999,64.989998,64.989998,1221700,RHT
2015-02-04,64.739998,65.339996,64.379997,64.790001,64.790001,1310900,RHT
2015-02-05,64.959999,65.480003,64.550003,65.309998,65.309998,795300,RHT
2015-02-06,65.379997,65.800003,64.760002,64.970001,64.970001,1195400,RHT
2015-02-09,64.610001,65.529999,64.540001,64.900002,64.900002,1435500,RHT
2015-02-10,65.379997,65.940002,65.160004,65.739998,65.739998,834100,RHT
2015-02-11,65.750000,67.639999,65.599998,67.349998,67.349998,1727400,RHT
2015-02-12,67.790001,68.510002,67.349998,67.900002,67.900002,1807200,RHT
2015-02-13,68.059998,68.639999,67.760002,68.470001,68.470001,897500,RHT
2015-02-17,68.349998,68.769997,67.860001,68.599998,68.599998,1231300,RHT
2015-02-18,68.620003,69.480003,68.160004,69.230003,69.230003,1205200,RHT
2015-02-19,69.190002,69.889999,68.900002,69.470001,69.470001,1059200,RHT
2015-02-20,69.300003,70.529999,69.099998,70.459999,70.459999,1168800,RHT
2015-02-23,70.269997,70.459999,68.419998,68.540001,68.540001,1128200,RHT
2015-02-24,68.389999,69.050003,67.889999,68.889999,68.889999,887000,RHT
2015-02-25,68.879997,70.050003,68.550003,69.760002,69.760002,1227700,RHT
2015-02-26,70.040001,70.550003,68.889999,69.400002,69.400002,1186900,RHT
2015-02-27,69.290001,69.779999,69.050003,69.120003,69.120003,792700,RHT
2015-03-02,69.000000,69.709999,68.510002,69.660004,69.660004,672500,RHT
2015-03-03,69.250000,69.370003,68.290001,68.500000,68.500000,787800,RHT
2015-03-04,68.139999,68.139999,66.959999,67.190002,67.190002,2078600,RHT
2015-03-05,67.449997,68.059998,67.199997,67.980003,67.980003,1080500,RHT
2015-03-06,67.779999,68.169998,66.400002,66.580002,66.580002,795400,RHT
2015-03-09,66.669998,67.139999,66.430000,66.830002,66.830002,676500,RHT
2015-03-10,66.059998,66.160004,65.129997,65.129997,65.129997,969200,RHT
2015-03-11,65.029999,65.720001,65.000000,65.120003,65.120003,713600,RHT
2015-03-12,65.129997,66.400002,65.010002,66.339996,66.339996,970000,RHT
2015-03-13,66.269997,66.639999,65.680000,66.150002,66.150002,575900,RHT
2015-03-16,66.260002,67.320000,66.080002,67.300003,67.300003,810400,RHT
2015-03-17,67.010002,67.459999,66.779999,67.089996,67.089996,819900,RHT
2015-03-18,66.849998,67.500000,65.720001,67.070000,67.070000,1233500,RHT
2015-03-19,67.230003,69.500000,66.959999,69.180000,69.180000,1905200,RHT
2015-03-20,69.650002,69.970001,69.269997,69.500000,69.500000,2113800,RHT
2015-03-23,69.790001,69.940002,69.029999,69.470001,69.470001,1189400,RHT
2015-03-24,69.669998,70.529999,69.389999,69.400002,69.400002,1649300,RHT
2015-03-25,69.370003,69.389999,66.809998,68.449997,68.449997,4159400,RHT
2015-03-26,72.699997,76.699997,72.279999,75.360001,75.360001,10824600,RHT
2015-03-27,75.000000,76.599998,74.610001,76.519997,76.519997,2783000,RHT
2015-03-30,77.000000,77.820000,76.309998,76.690002,76.690002,1840300,RHT
2015-03-31,76.129997,76.559998,75.750000,75.750000,75.750000,1873600,RHT
2015-04-01,75.540001,75.919998,74.669998,75.389999,75.389999,2057000,RHT
