Date,Open,High,Low,Close,Adj Close,Volume,JVA
2014-12-10,5.250000,5.420000,5.090000,5.340000,5.340000,37200,JVA
2014-12-11,5.380000,5.450000,5.310000,5.410000,5.410000,22800,JVA
2014-12-12,5.320000,5.410000,5.320000,5.390000,5.390000,13200,JVA
2014-12-15,5.360000,5.380000,5.200000,5.280000,5.280000,38100,JVA
2014-12-16,5.220000,5.360000,5.220000,5.260000,5.260000,34200,JVA
2014-12-17,5.050000,5.330000,5.050000,5.180000,5.180000,81500,JVA
2014-12-18,5.170000,5.310000,5.120000,5.300000,5.300000,48800,JVA
2014-12-19,5.330000,5.390000,5.250000,5.300000,5.300000,39600,JVA
2014-12-22,5.250000,5.440000,5.200000,5.260000,5.260000,52900,JVA
2014-12-23,5.200000,5.250000,5.150000,5.150000,5.150000,50300,JVA
2014-12-24,5.190000,5.230000,5.150000,5.210000,5.210000,16500,JVA
2014-12-26,5.190000,5.340000,5.190000,5.250000,5.250000,32800,JVA
2014-12-29,5.250000,5.400000,5.250000,5.320000,5.320000,67600,JVA
2014-12-30,5.270000,5.360000,5.220000,5.220000,5.220000,39300,JVA
2014-12-31,5.200000,5.300000,5.090000,5.130000,5.130000,77600,JVA
2015-01-02,5.110000,5.200000,5.030000,5.190000,5.190000,42500,JVA
2015-01-05,5.200000,5.200000,5.050000,5.160000,5.160000,52400,JVA
2015-01-06,5.060000,5.240000,4.850000,4.970000,4.970000,127800,JVA
2015-01-07,4.980000,4.980000,4.790000,4.890000,4.890000,77400,JVA
2015-01-08,4.900000,5.000000,4.820000,4.930000,4.930000,48000,JVA
2015-01-09,4.920000,5.030000,4.850000,4.860000,4.860000,73600,JVA
2015-01-12,4.870000,4.970000,4.820000,4.900000,4.900000,30200,JVA
2015-01-13,4.900000,5.000000,4.900000,4.970000,4.970000,49200,JVA
2015-01-14,4.960000,5.050000,4.940000,4.960000,4.960000,22800,JVA
2015-01-15,5.020000,5.050000,4.910000,4.910000,4.910000,56600,JVA
2015-01-16,4.950000,5.060000,4.940000,5.060000,5.060000,42600,JVA
2015-01-20,5.160000,5.500000,5.080000,5.420000,5.420000,110200,JVA
2015-01-21,5.390000,5.510000,5.300000,5.490000,5.490000,58400,JVA
2015-01-22,5.500000,5.600000,5.350000,5.600000,5.600000,60000,JVA
2015-01-23,5.990000,6.200000,5.250000,5.300000,5.300000,348700,JVA
2015-01-26,5.490000,5.560000,4.960000,5.200000,5.200000,126300,JVA
2015-01-27,5.140000,5.370000,5.040000,5.110000,5.110000,84100,JVA
2015-01-28,5.210000,5.210000,5.110000,5.160000,5.160000,20800,JVA
2015-01-29,5.190000,5.190000,5.110000,5.110000,5.110000,29400,JVA
2015-01-30,5.100000,5.150000,5.000000,5.050000,5.050000,42400,JVA
2015-02-02,5.080000,5.110000,4.980000,5.030000,5.030000,38700,JVA
2015-02-03,5.000000,5.380000,5.000000,5.190000,5.190000,60300,JVA
2015-02-04,5.230000,5.230000,5.130000,5.180000,5.180000,37800,JVA
2015-02-05,5.190000,5.200000,5.050000,5.170000,5.170000,43600,JVA
2015-02-06,5.100000,5.150000,5.000000,5.110000,5.110000,17000,JVA
2015-02-09,5.140000,5.160000,5.010000,5.130000,5.130000,43800,JVA
2015-02-10,5.130000,5.160000,5.030000,5.120000,5.120000,55100,JVA
2015-02-11,5.080000,5.200000,5.080000,5.080000,5.080000,24200,JVA
2015-02-12,5.080000,5.160000,4.980000,5.050000,5.050000,58600,JVA
2015-02-13,5.050000,5.080000,4.970000,5.060000,5.060000,31000,JVA
2015-02-17,5.050000,5.080000,5.000000,5.030000,5.030000,47500,JVA
2015-02-18,5.000000,5.070000,4.990000,5.060000,5.060000,29200,JVA
2015-02-19,5.090000,5.100000,5.010000,5.090000,5.090000,24500,JVA
2015-02-20,5.120000,5.140000,5.050000,5.050000,5.050000,31500,JVA
2015-02-23,5.080000,5.080000,4.870000,4.960000,4.960000,85100,JVA
2015-02-24,5.000000,5.050000,4.970000,4.990000,4.990000,10300,JVA
2015-02-25,4.950000,5.020000,4.950000,4.970000,4.970000,15600,JVA
2015-02-26,4.910000,5.020000,4.910000,4.990000,4.990000,60800,JVA
2015-02-27,4.990000,5.100000,4.990000,5.030000,5.030000,47100,JVA
2015-03-02,5.060000,5.100000,4.940000,5.100000,5.100000,70700,JVA
