Date,Open,High,Low,Close,Adj Close,Volume,MAR
2013-10-28,44.049999,44.369999,43.770000,44.099998,41.762989,2474400,MAR
2013-10-29,44.369999,44.630001,44.060001,44.610001,42.245964,2246900,MAR
2013-10-30,44.590000,44.720001,44.009998,44.200001,41.857697,1826800,MAR
2013-10-31,44.650002,45.910000,44.090000,45.080002,42.691059,4457600,MAR
2013-11-01,45.220001,45.770000,45.130001,45.709999,43.287666,2621600,MAR
2013-11-04,45.590000,46.020000,45.360001,45.990002,43.552834,2560600,MAR
2013-11-05,45.570000,45.970001,45.439999,45.849998,43.420258,2084100,MAR
2013-11-06,45.950001,46.520000,45.930000,46.340000,43.884285,2871400,MAR
2013-11-07,46.419998,46.419998,45.389999,45.430000,43.022514,2366200,MAR
2013-11-08,45.410000,46.119999,45.369999,46.119999,43.675953,2028800,MAR
2013-11-11,45.970001,46.490002,45.669998,46.099998,43.657009,2405900,MAR
2013-11-12,47.029999,47.160000,46.279999,46.430000,43.969528,3261000,MAR
2013-11-13,46.290001,46.709999,46.169998,46.680000,44.206268,2638000,MAR
2013-11-14,46.599998,46.980000,46.459999,46.939999,44.452488,2266200,MAR
2013-11-15,46.950001,47.580002,46.950001,47.020000,44.528252,15553500,MAR
2013-11-18,47.070000,47.299999,46.779999,46.980000,44.490372,2949300,MAR
2013-11-19,46.840000,46.889999,46.020000,46.330002,44.034153,2397900,MAR
2013-11-20,46.520000,46.750000,46.029999,46.259998,43.967617,1947000,MAR
2013-11-21,46.490002,47.130001,46.270000,46.910000,44.585419,1939800,MAR
2013-11-22,47.029999,47.169998,46.810001,46.919998,44.594921,2379300,MAR
2013-11-25,46.830002,47.049999,46.529999,46.630001,44.319283,1986000,MAR
2013-11-26,46.459999,47.340000,46.459999,47.180000,44.842041,2135500,MAR
2013-11-27,47.200001,47.299999,46.880001,46.930000,44.604420,1612000,MAR
2013-11-29,47.119999,47.169998,46.860001,47.020000,44.689964,1346100,MAR
2013-12-02,47.000000,47.020000,46.369999,46.500000,44.195736,2137600,MAR
2013-12-03,46.080002,46.500000,45.849998,46.020000,43.739517,3432600,MAR
2013-12-04,45.439999,46.180000,45.250000,45.910000,43.634972,2119800,MAR
2013-12-05,45.919998,46.070000,45.570000,45.619999,43.359333,1914300,MAR
2013-12-06,46.639999,46.700001,45.959999,46.230000,43.939110,1943200,MAR
2013-12-09,46.459999,46.889999,46.419998,46.560001,44.252750,1537800,MAR
2013-12-10,46.599998,46.730000,46.450001,46.570000,44.262264,1852700,MAR
2013-12-11,46.500000,46.560001,45.849998,46.009998,43.730015,2470600,MAR
2013-12-12,45.919998,46.340000,45.830002,46.020000,43.739517,1867700,MAR
2013-12-13,46.349998,46.689999,46.000000,46.570000,44.262264,1956900,MAR
2013-12-16,46.730000,47.450001,46.610001,47.090000,44.756496,2616600,MAR
2013-12-17,46.950001,47.150002,46.419998,46.840000,44.518883,1782500,MAR
2013-12-18,46.880001,47.900002,46.520000,47.869999,45.497845,1944700,MAR
2013-12-19,47.599998,47.869999,47.310001,47.720001,45.355282,1550200,MAR
2013-12-20,47.970001,48.320000,47.869999,48.150002,45.763969,3679100,MAR
2013-12-23,48.090000,48.820000,48.060001,48.279999,45.887524,1088000,MAR
2013-12-24,48.049999,48.689999,48.049999,48.669998,46.258202,692500,MAR
2013-12-26,49.709999,49.840000,48.590000,48.910000,46.486309,1137800,MAR
2013-12-27,48.990002,49.020000,48.680000,48.779999,46.362743,875000,MAR
2013-12-30,49.080002,49.119999,48.599998,49.009998,46.581348,1200100,MAR
2013-12-31,49.000000,49.439999,49.000000,49.349998,46.904495,1484100,MAR
